,imgPath,label
0,edges\edges_edges_blurred_paper157.jpg,paper
1,edges\edges_edges_blurred_plastic410.jpg,plastic
2,edges\edges_edges_blurred_plastic208.jpg,plastic
3,edges\edges_edges_blurred_cardboard200.jpg,cardboard
4,edges\edges_edges_blurred_glass13.jpg,glass
5,edges\edges_edges_blurred_metal108.jpg,metal
6,edges\edges_edges_blurred_glass75.jpg,glass
7,edges\edges_edges_blurred_cardboard250.jpg,cardboard
8,edges\edges_edges_blurred_paper555.jpg,paper
9,edges\edges_edges_blurred_metal193.jpg,metal
10,edges\edges_edges_blurred_paper322.jpg,paper
11,edges\edges_edges_blurred_glass353.jpg,glass
12,edges\edges_edges_blurred_plastic216.jpg,plastic
13,edges\edges_edges_blurred_paper192.jpg,paper
14,edges\edges_edges_blurred_trash127.jpg,trash
15,edges\edges_edges_blurred_glass17.jpg,glass
16,edges\edges_edges_blurred_metal376.jpg,metal
17,edges\edges_edges_blurred_cardboard158.jpg,cardboard
18,edges\edges_edges_blurred_plastic20.jpg,plastic
19,edges\edges_edges_blurred_plastic98.jpg,plastic
20,edges\edges_edges_blurred_glass65.jpg,glass
21,edges\edges_edges_blurred_glass59.jpg,glass
22,edges\edges_edges_blurred_metal319.jpg,metal
23,edges\edges_edges_blurred_paper364.jpg,paper
24,edges\edges_edges_blurred_cardboard46.jpg,cardboard
25,edges\edges_edges_blurred_paper93.jpg,paper
26,edges\edges_edges_blurred_metal311.jpg,metal
27,edges\edges_edges_blurred_glass185.jpg,glass
28,edges\edges_edges_blurred_glass195.jpg,glass
29,edges\edges_edges_blurred_glass390.jpg,glass
30,edges\edges_edges_blurred_cardboard271.jpg,cardboard
31,edges\edges_edges_blurred_glass267.jpg,glass
32,edges\edges_edges_blurred_cardboard175.jpg,cardboard
33,edges\edges_edges_blurred_cardboard295.jpg,cardboard
34,edges\edges_edges_blurred_trash115.jpg,trash
35,edges\edges_edges_blurred_paper590.jpg,paper
36,edges\edges_edges_blurred_metal351.jpg,metal
37,edges\edges_edges_blurred_plastic220.jpg,plastic
38,edges\edges_edges_blurred_plastic336.jpg,plastic
39,edges\edges_edges_blurred_glass457.jpg,glass
40,edges\edges_edges_blurred_metal179.jpg,metal
41,edges\edges_edges_blurred_metal243.jpg,metal
42,edges\edges_edges_blurred_paper313.jpg,paper
43,edges\edges_edges_blurred_paper76.jpg,paper
44,edges\edges_edges_blurred_cardboard269.jpg,cardboard
45,edges\edges_edges_blurred_glass118.jpg,glass
46,edges\edges_edges_blurred_paper547.jpg,paper
47,edges\edges_edges_blurred_glass19.jpg,glass
48,edges\edges_edges_blurred_paper266.jpg,paper
49,edges\edges_edges_blurred_cardboard344.jpg,cardboard
50,edges\edges_edges_blurred_metal206.jpg,metal
51,edges\edges_edges_blurred_paper57.jpg,paper
52,edges\edges_edges_blurred_cardboard84.jpg,cardboard
53,edges\edges_edges_blurred_cardboard310.jpg,cardboard
54,edges\edges_edges_blurred_metal222.jpg,metal
55,edges\edges_edges_blurred_metal93.jpg,metal
56,edges\edges_edges_blurred_glass446.jpg,glass
57,edges\edges_edges_blurred_cardboard27.jpg,cardboard
58,edges\edges_edges_blurred_trash42.jpg,trash
59,edges\edges_edges_blurred_trash103.jpg,trash
60,edges\edges_edges_blurred_plastic256.jpg,plastic
61,edges\edges_edges_blurred_plastic314.jpg,plastic
62,edges\edges_edges_blurred_cardboard387.jpg,cardboard
63,edges\edges_edges_blurred_trash20.jpg,trash
64,edges\edges_edges_blurred_paper446.jpg,paper
65,edges\edges_edges_blurred_paper49.jpg,paper
66,edges\edges_edges_blurred_glass197.jpg,glass
67,edges\edges_edges_blurred_paper140.jpg,paper
68,edges\edges_edges_blurred_paper118.jpg,paper
69,edges\edges_edges_blurred_glass31.jpg,glass
70,edges\edges_edges_blurred_plastic83.jpg,plastic
71,edges\edges_edges_blurred_paper188.jpg,paper
72,edges\edges_edges_blurred_paper245.jpg,paper
73,edges\edges_edges_blurred_metal172.jpg,metal
74,edges\edges_edges_blurred_plastic255.jpg,plastic
75,edges\edges_edges_blurred_glass466.jpg,glass
76,edges\edges_edges_blurred_metal262.jpg,metal
77,edges\edges_edges_blurred_plastic77.jpg,plastic
78,edges\edges_edges_blurred_paper510.jpg,paper
79,edges\edges_edges_blurred_paper513.jpg,paper
80,edges\edges_edges_blurred_plastic45.jpg,plastic
81,edges\edges_edges_blurred_paper579.jpg,paper
82,edges\edges_edges_blurred_glass431.jpg,glass
83,edges\edges_edges_blurred_paper535.jpg,paper
84,edges\edges_edges_blurred_glass479.jpg,glass
