imgPath,label
Edge_Detection_Picture\edges_paper214.jpg,paper
Edge_Detection_Picture\edges_cardboard365.jpg,cardboard
Edge_Detection_Picture\edges_paper353.jpg,paper
Edge_Detection_Picture\edges_cardboard219.jpg,cardboard
Edge_Detection_Picture\edges_metal123.jpg,metal
Edge_Detection_Picture\edges_metal401.jpg,metal
Edge_Detection_Picture\edges_paper232.jpg,paper
Edge_Detection_Picture\edges_trash11.jpg,trash
Edge_Detection_Picture\edges_metal271.jpg,metal
Edge_Detection_Picture\edges_glass228.jpg,glass
Edge_Detection_Picture\edges_plastic477.jpg,plastic
Edge_Detection_Picture\edges_glass117.jpg,glass
Edge_Detection_Picture\edges_metal288.jpg,metal
Edge_Detection_Picture\edges_glass348.jpg,glass
Edge_Detection_Picture\edges_plastic310.jpg,plastic
Edge_Detection_Picture\edges_paper440.jpg,paper
Edge_Detection_Picture\edges_plastic20.jpg,plastic
Edge_Detection_Picture\edges_plastic212.jpg,plastic
Edge_Detection_Picture\edges_metal165.jpg,metal
Edge_Detection_Picture\edges_paper72.jpg,paper
Edge_Detection_Picture\edges_plastic392.jpg,plastic
Edge_Detection_Picture\edges_metal258.jpg,metal
Edge_Detection_Picture\edges_metal18.jpg,metal
Edge_Detection_Picture\edges_trash74.jpg,trash
Edge_Detection_Picture\edges_paper447.jpg,paper
Edge_Detection_Picture\edges_paper524.jpg,paper
Edge_Detection_Picture\edges_cardboard276.jpg,cardboard
Edge_Detection_Picture\edges_paper413.jpg,paper
Edge_Detection_Picture\edges_plastic395.jpg,plastic
Edge_Detection_Picture\edges_glass432.jpg,glass
Edge_Detection_Picture\edges_glass26.jpg,glass
Edge_Detection_Picture\edges_glass32.jpg,glass
Edge_Detection_Picture\edges_glass253.jpg,glass
Edge_Detection_Picture\edges_paper344.jpg,paper
Edge_Detection_Picture\edges_glass358.jpg,glass
Edge_Detection_Picture\edges_metal263.jpg,metal
Edge_Detection_Picture\edges_paper448.jpg,paper
Edge_Detection_Picture\edges_plastic229.jpg,plastic
Edge_Detection_Picture\edges_glass177.jpg,glass
Edge_Detection_Picture\edges_cardboard301.jpg,cardboard
Edge_Detection_Picture\edges_paper497.jpg,paper
Edge_Detection_Picture\edges_plastic191.jpg,plastic
Edge_Detection_Picture\edges_cardboard338.jpg,cardboard
Edge_Detection_Picture\edges_paper539.jpg,paper
Edge_Detection_Picture\edges_cardboard325.jpg,cardboard
Edge_Detection_Picture\edges_cardboard315.jpg,cardboard
Edge_Detection_Picture\edges_plastic52.jpg,plastic
Edge_Detection_Picture\edges_metal246.jpg,metal
Edge_Detection_Picture\edges_paper46.jpg,paper
Edge_Detection_Picture\edges_cardboard54.jpg,cardboard
Edge_Detection_Picture\edges_paper76.jpg,paper
Edge_Detection_Picture\edges_glass7.jpg,glass
Edge_Detection_Picture\edges_plastic97.jpg,plastic
Edge_Detection_Picture\edges_plastic346.jpg,plastic
Edge_Detection_Picture\edges_glass169.jpg,glass
Edge_Detection_Picture\edges_glass286.jpg,glass
Edge_Detection_Picture\edges_metal377.jpg,metal
Edge_Detection_Picture\edges_cardboard171.jpg,cardboard
Edge_Detection_Picture\edges_cardboard314.jpg,cardboard
Edge_Detection_Picture\edges_paper208.jpg,paper
Edge_Detection_Picture\edges_glass396.jpg,glass
Edge_Detection_Picture\edges_paper194.jpg,paper
Edge_Detection_Picture\edges_paper345.jpg,paper
Edge_Detection_Picture\edges_plastic60.jpg,plastic
Edge_Detection_Picture\edges_plastic36.jpg,plastic
Edge_Detection_Picture\edges_plastic206.jpg,plastic
Edge_Detection_Picture\edges_glass494.jpg,glass
Edge_Detection_Picture\edges_cardboard5.jpg,cardboard
Edge_Detection_Picture\edges_glass482.jpg,glass
Edge_Detection_Picture\edges_glass497.jpg,glass
Edge_Detection_Picture\edges_paper218.jpg,paper
Edge_Detection_Picture\edges_plastic217.jpg,plastic
Edge_Detection_Picture\edges_metal347.jpg,metal
Edge_Detection_Picture\edges_paper55.jpg,paper
Edge_Detection_Picture\edges_plastic249.jpg,plastic
Edge_Detection_Picture\edges_paper251.jpg,paper
Edge_Detection_Picture\edges_metal62.jpg,metal
Edge_Detection_Picture\edges_metal252.jpg,metal
Edge_Detection_Picture\edges_metal9.jpg,metal
Edge_Detection_Picture\edges_glass477.jpg,glass
Edge_Detection_Picture\edges_glass297.jpg,glass
Edge_Detection_Picture\edges_cardboard109.jpg,cardboard
Edge_Detection_Picture\edges_trash13.jpg,trash
Edge_Detection_Picture\edges_paper125.jpg,paper
Edge_Detection_Picture\edges_plastic268.jpg,plastic
Edge_Detection_Picture\edges_plastic26.jpg,plastic
Edge_Detection_Picture\edges_paper161.jpg,paper
Edge_Detection_Picture\edges_metal28.jpg,metal
Edge_Detection_Picture\edges_plastic117.jpg,plastic
Edge_Detection_Picture\edges_glass232.jpg,glass
Edge_Detection_Picture\edges_cardboard25.jpg,cardboard
Edge_Detection_Picture\edges_paper442.jpg,paper
Edge_Detection_Picture\edges_paper249.jpg,paper
Edge_Detection_Picture\edges_glass389.jpg,glass
Edge_Detection_Picture\edges_glass257.jpg,glass
Edge_Detection_Picture\edges_plastic211.jpg,plastic
Edge_Detection_Picture\edges_plastic213.jpg,plastic
Edge_Detection_Picture\edges_cardboard259.jpg,cardboard
Edge_Detection_Picture\edges_cardboard255.jpg,cardboard
Edge_Detection_Picture\edges_cardboard136.jpg,cardboard
Edge_Detection_Picture\edges_glass498.jpg,glass
Edge_Detection_Picture\edges_plastic424.jpg,plastic
Edge_Detection_Picture\edges_cardboard220.jpg,cardboard
Edge_Detection_Picture\edges_glass50.jpg,glass
Edge_Detection_Picture\edges_cardboard323.jpg,cardboard
Edge_Detection_Picture\edges_cardboard375.jpg,cardboard
Edge_Detection_Picture\edges_paper367.jpg,paper
Edge_Detection_Picture\edges_glass321.jpg,glass
Edge_Detection_Picture\edges_plastic197.jpg,plastic
Edge_Detection_Picture\edges_cardboard193.jpg,cardboard
Edge_Detection_Picture\edges_paper304.jpg,paper
Edge_Detection_Picture\edges_paper179.jpg,paper
Edge_Detection_Picture\edges_metal136.jpg,metal
Edge_Detection_Picture\edges_trash125.jpg,trash
Edge_Detection_Picture\edges_paper141.jpg,paper
Edge_Detection_Picture\edges_metal16.jpg,metal
Edge_Detection_Picture\edges_glass310.jpg,glass
Edge_Detection_Picture\edges_plastic336.jpg,plastic
Edge_Detection_Picture\edges_cardboard310.jpg,cardboard
Edge_Detection_Picture\edges_plastic116.jpg,plastic
Edge_Detection_Picture\edges_glass446.jpg,glass
Edge_Detection_Picture\edges_paper422.jpg,paper
Edge_Detection_Picture\edges_glass245.jpg,glass
Edge_Detection_Picture\edges_cardboard302.jpg,cardboard
Edge_Detection_Picture\edges_plastic261.jpg,plastic
Edge_Detection_Picture\edges_paper39.jpg,paper
Edge_Detection_Picture\edges_glass210.jpg,glass
Edge_Detection_Picture\edges_paper45.jpg,paper
Edge_Detection_Picture\edges_glass226.jpg,glass
Edge_Detection_Picture\edges_paper59.jpg,paper
Edge_Detection_Picture\edges_metal196.jpg,metal
Edge_Detection_Picture\edges_trash128.jpg,trash
Edge_Detection_Picture\edges_paper339.jpg,paper
Edge_Detection_Picture\edges_glass57.jpg,glass
Edge_Detection_Picture\edges_plastic239.jpg,plastic
Edge_Detection_Picture\edges_paper458.jpg,paper
Edge_Detection_Picture\edges_cardboard322.jpg,cardboard
Edge_Detection_Picture\edges_metal225.jpg,metal
Edge_Detection_Picture\edges_metal314.jpg,metal
Edge_Detection_Picture\edges_trash97.jpg,trash
Edge_Detection_Picture\edges_paper14.jpg,paper
Edge_Detection_Picture\edges_cardboard127.jpg,cardboard
Edge_Detection_Picture\edges_plastic72.jpg,plastic
Edge_Detection_Picture\edges_plastic46.jpg,plastic
Edge_Detection_Picture\edges_cardboard1.jpg,cardboard
Edge_Detection_Picture\edges_plastic471.jpg,plastic
Edge_Detection_Picture\edges_glass271.jpg,glass
Edge_Detection_Picture\edges_glass38.jpg,glass
Edge_Detection_Picture\edges_cardboard223.jpg,cardboard
Edge_Detection_Picture\edges_plastic175.jpg,plastic
Edge_Detection_Picture\edges_glass99.jpg,glass
Edge_Detection_Picture\edges_paper352.jpg,paper
Edge_Detection_Picture\edges_plastic388.jpg,plastic
Edge_Detection_Picture\edges_cardboard94.jpg,cardboard
Edge_Detection_Picture\edges_glass405.jpg,glass
Edge_Detection_Picture\edges_plastic202.jpg,plastic
Edge_Detection_Picture\edges_glass427.jpg,glass
Edge_Detection_Picture\edges_paper175.jpg,paper
Edge_Detection_Picture\edges_cardboard203.jpg,cardboard
Edge_Detection_Picture\edges_cardboard392.jpg,cardboard
