imgPath,label
Gaussian_Blured_Pictures\blurred_paper214.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard365.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper353.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard219.jpg,cardboard
Gaussian_Blured_Pictures\blurred_metal123.jpg,metal
Gaussian_Blured_Pictures\blurred_metal401.jpg,metal
Gaussian_Blured_Pictures\blurred_paper232.jpg,paper
Gaussian_Blured_Pictures\blurred_trash11.jpg,trash
Gaussian_Blured_Pictures\blurred_metal271.jpg,metal
Gaussian_Blured_Pictures\blurred_glass228.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic477.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass117.jpg,glass
Gaussian_Blured_Pictures\blurred_metal288.jpg,metal
Gaussian_Blured_Pictures\blurred_glass348.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic310.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper440.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic20.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic212.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal165.jpg,metal
Gaussian_Blured_Pictures\blurred_paper72.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic392.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal258.jpg,metal
Gaussian_Blured_Pictures\blurred_metal18.jpg,metal
Gaussian_Blured_Pictures\blurred_trash74.jpg,trash
Gaussian_Blured_Pictures\blurred_paper447.jpg,paper
Gaussian_Blured_Pictures\blurred_paper524.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard276.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper413.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic395.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass432.jpg,glass
Gaussian_Blured_Pictures\blurred_glass26.jpg,glass
Gaussian_Blured_Pictures\blurred_glass32.jpg,glass
Gaussian_Blured_Pictures\blurred_glass253.jpg,glass
Gaussian_Blured_Pictures\blurred_paper344.jpg,paper
Gaussian_Blured_Pictures\blurred_glass358.jpg,glass
Gaussian_Blured_Pictures\blurred_metal263.jpg,metal
Gaussian_Blured_Pictures\blurred_paper448.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic229.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass177.jpg,glass
Gaussian_Blured_Pictures\blurred_cardboard301.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper497.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic191.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard338.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper539.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard325.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard315.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic52.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal246.jpg,metal
Gaussian_Blured_Pictures\blurred_paper46.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard54.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper76.jpg,paper
Gaussian_Blured_Pictures\blurred_glass7.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic97.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic346.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass169.jpg,glass
Gaussian_Blured_Pictures\blurred_glass286.jpg,glass
Gaussian_Blured_Pictures\blurred_metal377.jpg,metal
Gaussian_Blured_Pictures\blurred_cardboard171.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard314.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper208.jpg,paper
Gaussian_Blured_Pictures\blurred_glass396.jpg,glass
Gaussian_Blured_Pictures\blurred_paper194.jpg,paper
Gaussian_Blured_Pictures\blurred_paper345.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic60.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic36.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic206.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass494.jpg,glass
Gaussian_Blured_Pictures\blurred_cardboard5.jpg,cardboard
Gaussian_Blured_Pictures\blurred_glass482.jpg,glass
Gaussian_Blured_Pictures\blurred_glass497.jpg,glass
Gaussian_Blured_Pictures\blurred_paper218.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic217.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal347.jpg,metal
Gaussian_Blured_Pictures\blurred_paper55.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic249.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper251.jpg,paper
Gaussian_Blured_Pictures\blurred_metal62.jpg,metal
Gaussian_Blured_Pictures\blurred_metal252.jpg,metal
Gaussian_Blured_Pictures\blurred_metal9.jpg,metal
Gaussian_Blured_Pictures\blurred_glass477.jpg,glass
Gaussian_Blured_Pictures\blurred_glass297.jpg,glass
Gaussian_Blured_Pictures\blurred_cardboard109.jpg,cardboard
Gaussian_Blured_Pictures\blurred_trash13.jpg,trash
Gaussian_Blured_Pictures\blurred_paper125.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic268.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic26.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper161.jpg,paper
Gaussian_Blured_Pictures\blurred_metal28.jpg,metal
Gaussian_Blured_Pictures\blurred_plastic117.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass232.jpg,glass
Gaussian_Blured_Pictures\blurred_cardboard25.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper442.jpg,paper
Gaussian_Blured_Pictures\blurred_paper249.jpg,paper
Gaussian_Blured_Pictures\blurred_glass389.jpg,glass
Gaussian_Blured_Pictures\blurred_glass257.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic211.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic213.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard259.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard255.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard136.jpg,cardboard
Gaussian_Blured_Pictures\blurred_glass498.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic424.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard220.jpg,cardboard
Gaussian_Blured_Pictures\blurred_glass50.jpg,glass
Gaussian_Blured_Pictures\blurred_cardboard323.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard375.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper367.jpg,paper
Gaussian_Blured_Pictures\blurred_glass321.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic197.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard193.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper304.jpg,paper
Gaussian_Blured_Pictures\blurred_paper179.jpg,paper
Gaussian_Blured_Pictures\blurred_metal136.jpg,metal
Gaussian_Blured_Pictures\blurred_trash125.jpg,trash
Gaussian_Blured_Pictures\blurred_paper141.jpg,paper
Gaussian_Blured_Pictures\blurred_metal16.jpg,metal
Gaussian_Blured_Pictures\blurred_glass310.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic336.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard310.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic116.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass446.jpg,glass
Gaussian_Blured_Pictures\blurred_paper422.jpg,paper
Gaussian_Blured_Pictures\blurred_glass245.jpg,glass
Gaussian_Blured_Pictures\blurred_cardboard302.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic261.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper39.jpg,paper
Gaussian_Blured_Pictures\blurred_glass210.jpg,glass
Gaussian_Blured_Pictures\blurred_paper45.jpg,paper
Gaussian_Blured_Pictures\blurred_glass226.jpg,glass
Gaussian_Blured_Pictures\blurred_paper59.jpg,paper
Gaussian_Blured_Pictures\blurred_metal196.jpg,metal
Gaussian_Blured_Pictures\blurred_trash128.jpg,trash
Gaussian_Blured_Pictures\blurred_paper339.jpg,paper
Gaussian_Blured_Pictures\blurred_glass57.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic239.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper458.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard322.jpg,cardboard
Gaussian_Blured_Pictures\blurred_metal225.jpg,metal
Gaussian_Blured_Pictures\blurred_metal314.jpg,metal
Gaussian_Blured_Pictures\blurred_trash97.jpg,trash
Gaussian_Blured_Pictures\blurred_paper14.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard127.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic72.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic46.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard1.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic471.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass271.jpg,glass
Gaussian_Blured_Pictures\blurred_glass38.jpg,glass
Gaussian_Blured_Pictures\blurred_cardboard223.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic175.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass99.jpg,glass
Gaussian_Blured_Pictures\blurred_paper352.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic388.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard94.jpg,cardboard
Gaussian_Blured_Pictures\blurred_glass405.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic202.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass427.jpg,glass
Gaussian_Blured_Pictures\blurred_paper175.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard203.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard392.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper33.jpg,paper
Gaussian_Blured_Pictures\blurred_paper310.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard141.jpg,cardboard
Gaussian_Blured_Pictures\blurred_metal68.jpg,metal
Gaussian_Blured_Pictures\blurred_trash132.jpg,trash
Gaussian_Blured_Pictures\blurred_paper333.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic405.jpg,plastic
Gaussian_Blured_Pictures\blurred_trash73.jpg,trash
Gaussian_Blured_Pictures\blurred_metal373.jpg,metal
Gaussian_Blured_Pictures\blurred_glass53.jpg,glass
Gaussian_Blured_Pictures\blurred_paper108.jpg,paper
Gaussian_Blured_Pictures\blurred_paper494.jpg,paper
Gaussian_Blured_Pictures\blurred_metal275.jpg,metal
Gaussian_Blured_Pictures\blurred_cardboard186.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard33.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard371.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic317.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic180.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard236.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic118.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard169.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper574.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic61.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal112.jpg,metal
Gaussian_Blured_Pictures\blurred_metal241.jpg,metal
Gaussian_Blured_Pictures\blurred_glass173.jpg,glass
Gaussian_Blured_Pictures\blurred_paper335.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic426.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper477.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard390.jpg,cardboard
Gaussian_Blured_Pictures\blurred_metal74.jpg,metal
Gaussian_Blured_Pictures\blurred_trash87.jpg,trash
Gaussian_Blured_Pictures\blurred_glass426.jpg,glass
Gaussian_Blured_Pictures\blurred_paper423.jpg,paper
Gaussian_Blured_Pictures\blurred_glass2.jpg,glass
Gaussian_Blured_Pictures\blurred_glass336.jpg,glass
Gaussian_Blured_Pictures\blurred_cardboard22.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper264.jpg,paper
Gaussian_Blured_Pictures\blurred_trash79.jpg,trash
Gaussian_Blured_Pictures\blurred_plastic186.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard152.jpg,cardboard
Gaussian_Blured_Pictures\blurred_trash32.jpg,trash
Gaussian_Blured_Pictures\blurred_cardboard249.jpg,cardboard
Gaussian_Blured_Pictures\blurred_glass166.jpg,glass
Gaussian_Blured_Pictures\blurred_paper204.jpg,paper
Gaussian_Blured_Pictures\blurred_trash136.jpg,trash
Gaussian_Blured_Pictures\blurred_glass81.jpg,glass
Gaussian_Blured_Pictures\blurred_paper123.jpg,paper
Gaussian_Blured_Pictures\blurred_metal147.jpg,metal
Gaussian_Blured_Pictures\blurred_paper50.jpg,paper
Gaussian_Blured_Pictures\blurred_glass136.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic316.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic218.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic67.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass292.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic444.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass277.jpg,glass
Gaussian_Blured_Pictures\blurred_paper387.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic38.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic27.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal1.jpg,metal
Gaussian_Blured_Pictures\blurred_paper259.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard336.jpg,cardboard
Gaussian_Blured_Pictures\blurred_metal247.jpg,metal
Gaussian_Blured_Pictures\blurred_paper147.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard316.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard58.jpg,cardboard
Gaussian_Blured_Pictures\blurred_metal131.jpg,metal
Gaussian_Blured_Pictures\blurred_paper513.jpg,paper
Gaussian_Blured_Pictures\blurred_paper550.jpg,paper
Gaussian_Blured_Pictures\blurred_glass464.jpg,glass
Gaussian_Blured_Pictures\blurred_cardboard357.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper577.jpg,paper
Gaussian_Blured_Pictures\blurred_paper507.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard194.jpg,cardboard
Gaussian_Blured_Pictures\blurred_trash52.jpg,trash
Gaussian_Blured_Pictures\blurred_paper414.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard12.jpg,cardboard
Gaussian_Blured_Pictures\blurred_metal277.jpg,metal
Gaussian_Blured_Pictures\blurred_paper15.jpg,paper
Gaussian_Blured_Pictures\blurred_metal301.jpg,metal
Gaussian_Blured_Pictures\blurred_glass451.jpg,glass
Gaussian_Blured_Pictures\blurred_glass248.jpg,glass
Gaussian_Blured_Pictures\blurred_paper124.jpg,paper
Gaussian_Blured_Pictures\blurred_metal318.jpg,metal
Gaussian_Blured_Pictures\blurred_cardboard270.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper112.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic4.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic32.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass197.jpg,glass
Gaussian_Blured_Pictures\blurred_glass167.jpg,glass
Gaussian_Blured_Pictures\blurred_paper99.jpg,paper
Gaussian_Blured_Pictures\blurred_glass275.jpg,glass
Gaussian_Blured_Pictures\blurred_trash107.jpg,trash
Gaussian_Blured_Pictures\blurred_metal381.jpg,metal
Gaussian_Blured_Pictures\blurred_glass60.jpg,glass
Gaussian_Blured_Pictures\blurred_metal366.jpg,metal
Gaussian_Blured_Pictures\blurred_metal409.jpg,metal
Gaussian_Blured_Pictures\blurred_plastic145.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard84.jpg,cardboard
Gaussian_Blured_Pictures\blurred_trash50.jpg,trash
Gaussian_Blured_Pictures\blurred_glass178.jpg,glass
Gaussian_Blured_Pictures\blurred_metal244.jpg,metal
Gaussian_Blured_Pictures\blurred_paper385.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic201.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic435.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass435.jpg,glass
Gaussian_Blured_Pictures\blurred_metal400.jpg,metal
Gaussian_Blured_Pictures\blurred_glass287.jpg,glass
Gaussian_Blured_Pictures\blurred_glass441.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic226.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic178.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard123.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic30.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass263.jpg,glass
Gaussian_Blured_Pictures\blurred_metal17.jpg,metal
Gaussian_Blured_Pictures\blurred_metal307.jpg,metal
Gaussian_Blured_Pictures\blurred_plastic440.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic450.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal213.jpg,metal
Gaussian_Blured_Pictures\blurred_cardboard237.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard362.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic176.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass463.jpg,glass
Gaussian_Blured_Pictures\blurred_cardboard238.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard213.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic86.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper225.jpg,paper
Gaussian_Blured_Pictures\blurred_paper425.jpg,paper
Gaussian_Blured_Pictures\blurred_paper485.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic290.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass341.jpg,glass
Gaussian_Blured_Pictures\blurred_metal69.jpg,metal
Gaussian_Blured_Pictures\blurred_plastic319.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard286.jpg,cardboard
Gaussian_Blured_Pictures\blurred_glass18.jpg,glass
Gaussian_Blured_Pictures\blurred_glass193.jpg,glass
Gaussian_Blured_Pictures\blurred_glass80.jpg,glass
Gaussian_Blured_Pictures\blurred_paper255.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard182.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard378.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic297.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper242.jpg,paper
Gaussian_Blured_Pictures\blurred_trash111.jpg,trash
Gaussian_Blured_Pictures\blurred_metal133.jpg,metal
Gaussian_Blured_Pictures\blurred_plastic418.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper460.jpg,paper
Gaussian_Blured_Pictures\blurred_glass194.jpg,glass
Gaussian_Blured_Pictures\blurred_metal64.jpg,metal
Gaussian_Blured_Pictures\blurred_glass501.jpg,glass
Gaussian_Blured_Pictures\blurred_cardboard349.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper552.jpg,paper
Gaussian_Blured_Pictures\blurred_glass109.jpg,glass
Gaussian_Blured_Pictures\blurred_glass343.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic253.jpg,plastic
Gaussian_Blured_Pictures\blurred_trash5.jpg,trash
Gaussian_Blured_Pictures\blurred_plastic335.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic12.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper405.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic475.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal63.jpg,metal
Gaussian_Blured_Pictures\blurred_paper354.jpg,paper
Gaussian_Blured_Pictures\blurred_paper386.jpg,paper
Gaussian_Blured_Pictures\blurred_metal182.jpg,metal
Gaussian_Blured_Pictures\blurred_glass158.jpg,glass
Gaussian_Blured_Pictures\blurred_paper571.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard240.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard132.jpg,cardboard
Gaussian_Blured_Pictures\blurred_trash1.jpg,trash
Gaussian_Blured_Pictures\blurred_metal355.jpg,metal
Gaussian_Blured_Pictures\blurred_paper588.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic309.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal45.jpg,metal
Gaussian_Blured_Pictures\blurred_cardboard34.jpg,cardboard
Gaussian_Blured_Pictures\blurred_glass280.jpg,glass
Gaussian_Blured_Pictures\blurred_trash66.jpg,trash
Gaussian_Blured_Pictures\blurred_metal353.jpg,metal
Gaussian_Blured_Pictures\blurred_metal286.jpg,metal
Gaussian_Blured_Pictures\blurred_cardboard53.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic425.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass203.jpg,glass
Gaussian_Blured_Pictures\blurred_paper182.jpg,paper
Gaussian_Blured_Pictures\blurred_paper200.jpg,paper
Gaussian_Blured_Pictures\blurred_paper174.jpg,paper
Gaussian_Blured_Pictures\blurred_paper517.jpg,paper
Gaussian_Blured_Pictures\blurred_glass487.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic368.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper239.jpg,paper
Gaussian_Blured_Pictures\blurred_cardboard216.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper542.jpg,paper
Gaussian_Blured_Pictures\blurred_metal354.jpg,metal
Gaussian_Blured_Pictures\blurred_glass125.jpg,glass
Gaussian_Blured_Pictures\blurred_paper464.jpg,paper
Gaussian_Blured_Pictures\blurred_paper223.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic187.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass148.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic54.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic73.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic414.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard241.jpg,cardboard
Gaussian_Blured_Pictures\blurred_paper269.jpg,paper
Gaussian_Blured_Pictures\blurred_metal26.jpg,metal
Gaussian_Blured_Pictures\blurred_metal30.jpg,metal
Gaussian_Blured_Pictures\blurred_plastic155.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass471.jpg,glass
Gaussian_Blured_Pictures\blurred_glass261.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic140.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass230.jpg,glass
Gaussian_Blured_Pictures\blurred_paper31.jpg,paper
Gaussian_Blured_Pictures\blurred_paper592.jpg,paper
Gaussian_Blured_Pictures\blurred_glass149.jpg,glass
Gaussian_Blured_Pictures\blurred_glass107.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic380.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal158.jpg,metal
Gaussian_Blured_Pictures\blurred_cardboard112.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic79.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass214.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic248.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass465.jpg,glass
Gaussian_Blured_Pictures\blurred_paper570.jpg,paper
Gaussian_Blured_Pictures\blurred_glass63.jpg,glass
Gaussian_Blured_Pictures\blurred_glass146.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic198.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic179.jpg,plastic
Gaussian_Blured_Pictures\blurred_glass147.jpg,glass
Gaussian_Blured_Pictures\blurred_metal371.jpg,metal
Gaussian_Blured_Pictures\blurred_trash137.jpg,trash
Gaussian_Blured_Pictures\blurred_cardboard280.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic433.jpg,plastic
Gaussian_Blured_Pictures\blurred_cardboard192.jpg,cardboard
Gaussian_Blured_Pictures\blurred_plastic6.jpg,plastic
Gaussian_Blured_Pictures\blurred_plastic110.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper151.jpg,paper
Gaussian_Blured_Pictures\blurred_glass27.jpg,glass
Gaussian_Blured_Pictures\blurred_metal391.jpg,metal
Gaussian_Blured_Pictures\blurred_glass65.jpg,glass
Gaussian_Blured_Pictures\blurred_glass115.jpg,glass
Gaussian_Blured_Pictures\blurred_metal183.jpg,metal
Gaussian_Blured_Pictures\blurred_paper47.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic143.jpg,plastic
Gaussian_Blured_Pictures\blurred_paper451.jpg,paper
Gaussian_Blured_Pictures\blurred_glass121.jpg,glass
Gaussian_Blured_Pictures\blurred_plastic313.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal292.jpg,metal
Gaussian_Blured_Pictures\blurred_metal103.jpg,metal
Gaussian_Blured_Pictures\blurred_paper562.jpg,paper
Gaussian_Blured_Pictures\blurred_plastic325.jpg,plastic
Gaussian_Blured_Pictures\blurred_metal199.jpg,metal
Gaussian_Blured_Pictures\blurred_cardboard271.jpg,cardboard
Gaussian_Blured_Pictures\blurred_cardboard330.jpg,cardboard
Gaussian_Blured_Pictures\blurred_glass182.jpg,glass
Gaussian_Blured_Pictures\blurred_metal128.jpg,metal
Gaussian_Blured_Pictures\blurred_paper118.jpg,paper
Gaussian_Blured_Pictures\blurred_paper332.jpg,paper
