imgPath,label
archive/Garbage Classification\paper\paper214.jpg,paper
archive/Garbage Classification\cardboard\cardboard365.jpg,cardboard
archive/Garbage Classification\paper\paper353.jpg,paper
archive/Garbage Classification\cardboard\cardboard219.jpg,cardboard
archive/Garbage Classification\metal\metal123.jpg,metal
archive/Garbage Classification\metal\metal401.jpg,metal
archive/Garbage Classification\paper\paper232.jpg,paper
archive/Garbage Classification\trash\trash11.jpg,trash
archive/Garbage Classification\metal\metal271.jpg,metal
archive/Garbage Classification\glass\glass228.jpg,glass
archive/Garbage Classification\plastic\plastic477.jpg,plastic
archive/Garbage Classification\glass\glass117.jpg,glass
archive/Garbage Classification\metal\metal288.jpg,metal
archive/Garbage Classification\glass\glass348.jpg,glass
archive/Garbage Classification\plastic\plastic310.jpg,plastic
archive/Garbage Classification\paper\paper440.jpg,paper
archive/Garbage Classification\plastic\plastic20.jpg,plastic
archive/Garbage Classification\plastic\plastic212.jpg,plastic
archive/Garbage Classification\metal\metal165.jpg,metal
archive/Garbage Classification\paper\paper72.jpg,paper
archive/Garbage Classification\plastic\plastic392.jpg,plastic
archive/Garbage Classification\metal\metal258.jpg,metal
archive/Garbage Classification\metal\metal18.jpg,metal
archive/Garbage Classification\trash\trash74.jpg,trash
archive/Garbage Classification\paper\paper447.jpg,paper
archive/Garbage Classification\paper\paper524.jpg,paper
archive/Garbage Classification\cardboard\cardboard276.jpg,cardboard
archive/Garbage Classification\paper\paper413.jpg,paper
archive/Garbage Classification\plastic\plastic395.jpg,plastic
archive/Garbage Classification\glass\glass432.jpg,glass
archive/Garbage Classification\glass\glass26.jpg,glass
archive/Garbage Classification\glass\glass32.jpg,glass
archive/Garbage Classification\glass\glass253.jpg,glass
archive/Garbage Classification\paper\paper344.jpg,paper
archive/Garbage Classification\glass\glass358.jpg,glass
archive/Garbage Classification\metal\metal263.jpg,metal
archive/Garbage Classification\paper\paper448.jpg,paper
archive/Garbage Classification\plastic\plastic229.jpg,plastic
archive/Garbage Classification\glass\glass177.jpg,glass
archive/Garbage Classification\cardboard\cardboard301.jpg,cardboard
archive/Garbage Classification\paper\paper497.jpg,paper
archive/Garbage Classification\plastic\plastic191.jpg,plastic
archive/Garbage Classification\cardboard\cardboard338.jpg,cardboard
archive/Garbage Classification\paper\paper539.jpg,paper
archive/Garbage Classification\cardboard\cardboard325.jpg,cardboard
archive/Garbage Classification\cardboard\cardboard315.jpg,cardboard
archive/Garbage Classification\plastic\plastic52.jpg,plastic
archive/Garbage Classification\metal\metal246.jpg,metal
archive/Garbage Classification\paper\paper46.jpg,paper
archive/Garbage Classification\cardboard\cardboard54.jpg,cardboard
archive/Garbage Classification\paper\paper76.jpg,paper
