,imgPath,label
0,Gaussian_Blured\blurred_paper441.jpg,paper
1,Gaussian_Blured\blurred_paper250.jpg,paper
2,Gaussian_Blured\blurred_glass497.jpg,glass
3,Gaussian_Blured\blurred_glass215.jpg,glass
4,Gaussian_Blured\blurred_glass300.jpg,glass
5,Gaussian_Blured\blurred_metal112.jpg,metal
6,Gaussian_Blured\blurred_metal14.jpg,metal
7,Gaussian_Blured\blurred_plastic183.jpg,plastic
8,Gaussian_Blured\blurred_cardboard111.jpg,cardboard
9,Gaussian_Blured\blurred_plastic423.jpg,plastic
10,Gaussian_Blured\blurred_cardboard246.jpg,cardboard
11,Gaussian_Blured\blurred_cardboard187.jpg,cardboard
12,Gaussian_Blured\blurred_glass172.jpg,glass
13,Gaussian_Blured\blurred_trash15.jpg,trash
14,Gaussian_Blured\blurred_metal256.jpg,metal
15,Gaussian_Blured\blurred_glass401.jpg,glass
16,Gaussian_Blured\blurred_metal291.jpg,metal
17,Gaussian_Blured\blurred_metal315.jpg,metal
18,Gaussian_Blured\blurred_paper122.jpg,paper
19,Gaussian_Blured\blurred_glass422.jpg,glass
20,Gaussian_Blured\blurred_plastic304.jpg,plastic
21,Gaussian_Blured\blurred_metal180.jpg,metal
22,Gaussian_Blured\blurred_trash137.jpg,trash
23,Gaussian_Blured\blurred_glass236.jpg,glass
24,Gaussian_Blured\blurred_plastic298.jpg,plastic
25,Gaussian_Blured\blurred_paper580.jpg,paper
26,Gaussian_Blured\blurred_glass64.jpg,glass
27,Gaussian_Blured\blurred_plastic237.jpg,plastic
28,Gaussian_Blured\blurred_paper50.jpg,paper
29,Gaussian_Blured\blurred_metal17.jpg,metal
30,Gaussian_Blured\blurred_metal259.jpg,metal
31,Gaussian_Blured\blurred_metal401.jpg,metal
32,Gaussian_Blured\blurred_glass182.jpg,glass
33,Gaussian_Blured\blurred_plastic205.jpg,plastic
34,Gaussian_Blured\blurred_paper513.jpg,paper
35,Gaussian_Blured\blurred_paper203.jpg,paper
36,Gaussian_Blured\blurred_cardboard156.jpg,cardboard
37,Gaussian_Blured\blurred_glass206.jpg,glass
38,Gaussian_Blured\blurred_paper80.jpg,paper
39,Gaussian_Blured\blurred_paper431.jpg,paper
40,Gaussian_Blured\blurred_cardboard160.jpg,cardboard
41,Gaussian_Blured\blurred_glass61.jpg,glass
42,Gaussian_Blured\blurred_paper144.jpg,paper
43,Gaussian_Blured\blurred_plastic241.jpg,plastic
44,Gaussian_Blured\blurred_glass25.jpg,glass
45,Gaussian_Blured\blurred_plastic236.jpg,plastic
46,Gaussian_Blured\blurred_plastic323.jpg,plastic
47,Gaussian_Blured\blurred_cardboard258.jpg,cardboard
48,Gaussian_Blured\blurred_cardboard357.jpg,cardboard
49,Gaussian_Blured\blurred_glass72.jpg,glass
50,Gaussian_Blured\blurred_metal294.jpg,metal
51,Gaussian_Blured\blurred_cardboard117.jpg,cardboard
52,Gaussian_Blured\blurred_paper368.jpg,paper
53,Gaussian_Blured\blurred_metal157.jpg,metal
54,Gaussian_Blured\blurred_paper195.jpg,paper
55,Gaussian_Blured\blurred_trash66.jpg,trash
56,Gaussian_Blured\blurred_paper571.jpg,paper
57,Gaussian_Blured\blurred_glass83.jpg,glass
58,Gaussian_Blured\blurred_metal118.jpg,metal
59,Gaussian_Blured\blurred_glass341.jpg,glass
60,Gaussian_Blured\blurred_paper257.jpg,paper
61,Gaussian_Blured\blurred_trash68.jpg,trash
62,Gaussian_Blured\blurred_plastic159.jpg,plastic
63,Gaussian_Blured\blurred_paper592.jpg,paper
64,Gaussian_Blured\blurred_glass80.jpg,glass
65,Gaussian_Blured\blurred_glass338.jpg,glass
66,Gaussian_Blured\blurred_glass270.jpg,glass
67,Gaussian_Blured\blurred_cardboard285.jpg,cardboard
68,Gaussian_Blured\blurred_metal335.jpg,metal
69,Gaussian_Blured\blurred_glass239.jpg,glass
70,Gaussian_Blured\blurred_cardboard390.jpg,cardboard
71,Gaussian_Blured\blurred_paper448.jpg,paper
72,Gaussian_Blured\blurred_cardboard13.jpg,cardboard
73,Gaussian_Blured\blurred_plastic402.jpg,plastic
74,Gaussian_Blured\blurred_cardboard343.jpg,cardboard
75,Gaussian_Blured\blurred_plastic408.jpg,plastic
76,Gaussian_Blured\blurred_glass100.jpg,glass
77,Gaussian_Blured\blurred_trash104.jpg,trash
78,Gaussian_Blured\blurred_metal254.jpg,metal
79,Gaussian_Blured\blurred_glass362.jpg,glass
80,Gaussian_Blured\blurred_plastic130.jpg,plastic
81,Gaussian_Blured\blurred_cardboard234.jpg,cardboard
82,Gaussian_Blured\blurred_plastic195.jpg,plastic
83,Gaussian_Blured\blurred_paper574.jpg,paper
84,Gaussian_Blured\blurred_cardboard200.jpg,cardboard
85,Gaussian_Blured\blurred_glass380.jpg,glass
86,Gaussian_Blured\blurred_glass179.jpg,glass
