,imgPath,label
0,archive/GarbageClassification\cardboard\cardboard177.jpg,cardboard
1,archive/GarbageClassification\paper\paper125.jpg,paper
2,archive/GarbageClassification\paper\paper79.jpg,paper
3,archive/GarbageClassification\plastic\plastic272.jpg,plastic
4,archive/GarbageClassification\cardboard\cardboard215.jpg,cardboard
5,archive/GarbageClassification\paper\paper259.jpg,paper
6,archive/GarbageClassification\paper\paper140.jpg,paper
7,archive/GarbageClassification\paper\paper75.jpg,paper
8,archive/GarbageClassification\metal\metal343.jpg,metal
9,archive/GarbageClassification\trash\trash26.jpg,trash
10,archive/GarbageClassification\metal\metal89.jpg,metal
11,archive/GarbageClassification\plastic\plastic461.jpg,plastic
12,archive/GarbageClassification\cardboard\cardboard133.jpg,cardboard
13,archive/GarbageClassification\metal\metal137.jpg,metal
14,archive/GarbageClassification\metal\metal223.jpg,metal
15,archive/GarbageClassification\plastic\plastic376.jpg,plastic
16,archive/GarbageClassification\plastic\plastic432.jpg,plastic
17,archive/GarbageClassification\cardboard\cardboard137.jpg,cardboard
18,archive/GarbageClassification\metal\metal410.jpg,metal
19,archive/GarbageClassification\plastic\plastic69.jpg,plastic
20,archive/GarbageClassification\plastic\plastic24.jpg,plastic
21,archive/GarbageClassification\cardboard\cardboard276.jpg,cardboard
22,archive/GarbageClassification\cardboard\cardboard230.jpg,cardboard
23,archive/GarbageClassification\glass\glass143.jpg,glass
24,archive/GarbageClassification\trash\trash44.jpg,trash
25,archive/GarbageClassification\metal\metal124.jpg,metal
26,archive/GarbageClassification\metal\metal295.jpg,metal
27,archive/GarbageClassification\glass\glass379.jpg,glass
28,archive/GarbageClassification\plastic\plastic411.jpg,plastic
29,archive/GarbageClassification\cardboard\cardboard366.jpg,cardboard
30,archive/GarbageClassification\paper\paper426.jpg,paper
31,archive/GarbageClassification\cardboard\cardboard103.jpg,cardboard
32,archive/GarbageClassification\cardboard\cardboard38.jpg,cardboard
33,archive/GarbageClassification\paper\paper251.jpg,paper
34,archive/GarbageClassification\paper\paper568.jpg,paper
35,archive/GarbageClassification\plastic\plastic194.jpg,plastic
36,archive/GarbageClassification\glass\glass18.jpg,glass
37,archive/GarbageClassification\plastic\plastic45.jpg,plastic
38,archive/GarbageClassification\glass\glass161.jpg,glass
39,archive/GarbageClassification\glass\glass61.jpg,glass
40,archive/GarbageClassification\plastic\plastic138.jpg,plastic
41,archive/GarbageClassification\glass\glass450.jpg,glass
42,archive/GarbageClassification\glass\glass188.jpg,glass
43,archive/GarbageClassification\metal\metal283.jpg,metal
44,archive/GarbageClassification\metal\metal246.jpg,metal
45,archive/GarbageClassification\glass\glass97.jpg,glass
46,archive/GarbageClassification\cardboard\cardboard58.jpg,cardboard
47,archive/GarbageClassification\paper\paper176.jpg,paper
48,archive/GarbageClassification\cardboard\cardboard194.jpg,cardboard
49,archive/GarbageClassification\metal\metal24.jpg,metal
50,archive/GarbageClassification\paper\paper566.jpg,paper
51,archive/GarbageClassification\cardboard\cardboard332.jpg,cardboard
52,archive/GarbageClassification\cardboard\cardboard95.jpg,cardboard
53,archive/GarbageClassification\glass\glass422.jpg,glass
54,archive/GarbageClassification\metal\metal324.jpg,metal
55,archive/GarbageClassification\metal\metal339.jpg,metal
56,archive/GarbageClassification\glass\glass47.jpg,glass
57,archive/GarbageClassification\plastic\plastic338.jpg,plastic
58,archive/GarbageClassification\metal\metal13.jpg,metal
59,archive/GarbageClassification\paper\paper418.jpg,paper
60,archive/GarbageClassification\paper\paper16.jpg,paper
61,archive/GarbageClassification\trash\trash48.jpg,trash
62,archive/GarbageClassification\cardboard\cardboard216.jpg,cardboard
63,archive/GarbageClassification\plastic\plastic340.jpg,plastic
64,archive/GarbageClassification\plastic\plastic445.jpg,plastic
65,archive/GarbageClassification\paper\paper316.jpg,paper
66,archive/GarbageClassification\paper\paper544.jpg,paper
67,archive/GarbageClassification\metal\metal212.jpg,metal
68,archive/GarbageClassification\cardboard\cardboard146.jpg,cardboard
69,archive/GarbageClassification\paper\paper113.jpg,paper
70,archive/GarbageClassification\glass\glass372.jpg,glass
71,archive/GarbageClassification\glass\glass104.jpg,glass
72,archive/GarbageClassification\glass\glass277.jpg,glass
73,archive/GarbageClassification\glass\glass90.jpg,glass
74,archive/GarbageClassification\glass\glass113.jpg,glass
75,archive/GarbageClassification\metal\metal281.jpg,metal
76,archive/GarbageClassification\cardboard\cardboard305.jpg,cardboard
77,archive/GarbageClassification\paper\paper46.jpg,paper
78,archive/GarbageClassification\metal\metal326.jpg,metal
79,archive/GarbageClassification\paper\paper51.jpg,paper
80,archive/GarbageClassification\glass\glass219.jpg,glass
81,archive/GarbageClassification\glass\glass346.jpg,glass
82,archive/GarbageClassification\glass\glass155.jpg,glass
83,archive/GarbageClassification\paper\paper63.jpg,paper
84,archive/GarbageClassification\paper\paper391.jpg,paper
85,archive/GarbageClassification\metal\metal376.jpg,metal
86,archive/GarbageClassification\cardboard\cardboard283.jpg,cardboard
87,archive/GarbageClassification\cardboard\cardboard42.jpg,cardboard
88,archive/GarbageClassification\plastic\plastic236.jpg,plastic
89,archive/GarbageClassification\glass\glass475.jpg,glass
90,archive/GarbageClassification\plastic\plastic163.jpg,plastic
91,archive/GarbageClassification\paper\paper486.jpg,paper
92,archive/GarbageClassification\paper\paper351.jpg,paper
93,archive/GarbageClassification\paper\paper335.jpg,paper
94,archive/GarbageClassification\glass\glass114.jpg,glass
95,archive/GarbageClassification\cardboard\cardboard347.jpg,cardboard
96,archive/GarbageClassification\paper\paper377.jpg,paper
97,archive/GarbageClassification\paper\paper561.jpg,paper
98,archive/GarbageClassification\glass\glass164.jpg,glass
99,archive/GarbageClassification\glass\glass439.jpg,glass
100,archive/GarbageClassification\glass\glass359.jpg,glass
101,archive/GarbageClassification\plastic\plastic360.jpg,plastic
102,archive/GarbageClassification\glass\glass250.jpg,glass
103,archive/GarbageClassification\paper\paper295.jpg,paper
104,archive/GarbageClassification\cardboard\cardboard130.jpg,cardboard
105,archive/GarbageClassification\metal\metal175.jpg,metal
106,archive/GarbageClassification\paper\paper73.jpg,paper
107,archive/GarbageClassification\plastic\plastic178.jpg,plastic
108,archive/GarbageClassification\cardboard\cardboard240.jpg,cardboard
109,archive/GarbageClassification\paper\paper584.jpg,paper
110,archive/GarbageClassification\plastic\plastic311.jpg,plastic
111,archive/GarbageClassification\metal\metal353.jpg,metal
112,archive/GarbageClassification\plastic\plastic154.jpg,plastic
113,archive/GarbageClassification\plastic\plastic473.jpg,plastic
114,archive/GarbageClassification\glass\glass335.jpg,glass
115,archive/GarbageClassification\plastic\plastic279.jpg,plastic
116,archive/GarbageClassification\plastic\plastic435.jpg,plastic
117,archive/GarbageClassification\paper\paper105.jpg,paper
118,archive/GarbageClassification\glass\glass393.jpg,glass
119,archive/GarbageClassification\cardboard\cardboard197.jpg,cardboard
120,archive/GarbageClassification\metal\metal303.jpg,metal
121,archive/GarbageClassification\plastic\plastic148.jpg,plastic
122,archive/GarbageClassification\metal\metal93.jpg,metal
123,archive/GarbageClassification\cardboard\cardboard250.jpg,cardboard
124,archive/GarbageClassification\cardboard\cardboard116.jpg,cardboard
125,archive/GarbageClassification\plastic\plastic391.jpg,plastic
126,archive/GarbageClassification\glass\glass480.jpg,glass
127,archive/GarbageClassification\glass\glass209.jpg,glass
128,archive/GarbageClassification\paper\paper443.jpg,paper
129,archive/GarbageClassification\paper\paper290.jpg,paper
130,archive/GarbageClassification\paper\paper361.jpg,paper
131,archive/GarbageClassification\paper\paper245.jpg,paper
132,archive/GarbageClassification\plastic\plastic394.jpg,plastic
133,archive/GarbageClassification\paper\paper33.jpg,paper
134,archive/GarbageClassification\glass\glass427.jpg,glass
135,archive/GarbageClassification\paper\paper123.jpg,paper
136,archive/GarbageClassification\plastic\plastic314.jpg,plastic
137,archive/GarbageClassification\glass\glass275.jpg,glass
138,archive/GarbageClassification\plastic\plastic70.jpg,plastic
139,archive/GarbageClassification\glass\glass218.jpg,glass
140,archive/GarbageClassification\trash\trash133.jpg,trash
141,archive/GarbageClassification\cardboard\cardboard217.jpg,cardboard
142,archive/GarbageClassification\glass\glass181.jpg,glass
143,archive/GarbageClassification\plastic\plastic407.jpg,plastic
144,archive/GarbageClassification\plastic\plastic140.jpg,plastic
145,archive/GarbageClassification\cardboard\cardboard138.jpg,cardboard
146,archive/GarbageClassification\cardboard\cardboard128.jpg,cardboard
147,archive/GarbageClassification\glass\glass324.jpg,glass
148,archive/GarbageClassification\plastic\plastic465.jpg,plastic
149,archive/GarbageClassification\metal\metal34.jpg,metal
150,archive/GarbageClassification\glass\glass453.jpg,glass
151,archive/GarbageClassification\plastic\plastic231.jpg,plastic
152,archive/GarbageClassification\plastic\plastic53.jpg,plastic
153,archive/GarbageClassification\plastic\plastic112.jpg,plastic
154,archive/GarbageClassification\cardboard\cardboard233.jpg,cardboard
155,archive/GarbageClassification\metal\metal335.jpg,metal
156,archive/GarbageClassification\glass\glass196.jpg,glass
157,archive/GarbageClassification\plastic\plastic233.jpg,plastic
158,archive/GarbageClassification\cardboard\cardboard96.jpg,cardboard
159,archive/GarbageClassification\glass\glass243.jpg,glass
160,archive/GarbageClassification\glass\glass300.jpg,glass
161,archive/GarbageClassification\paper\paper375.jpg,paper
162,archive/GarbageClassification\plastic\plastic367.jpg,plastic
163,archive/GarbageClassification\paper\paper154.jpg,paper
164,archive/GarbageClassification\cardboard\cardboard277.jpg,cardboard
165,archive/GarbageClassification\paper\paper563.jpg,paper
166,archive/GarbageClassification\plastic\plastic20.jpg,plastic
167,archive/GarbageClassification\glass\glass309.jpg,glass
168,archive/GarbageClassification\paper\paper241.jpg,paper
169,archive/GarbageClassification\paper\paper489.jpg,paper
170,archive/GarbageClassification\paper\paper149.jpg,paper
171,archive/GarbageClassification\plastic\plastic60.jpg,plastic
172,archive/GarbageClassification\trash\trash58.jpg,trash
173,archive/GarbageClassification\cardboard\cardboard293.jpg,cardboard
174,archive/GarbageClassification\trash\trash34.jpg,trash
175,archive/GarbageClassification\cardboard\cardboard131.jpg,cardboard
176,archive/GarbageClassification\metal\metal168.jpg,metal
177,archive/GarbageClassification\paper\paper358.jpg,paper
178,archive/GarbageClassification\plastic\plastic84.jpg,plastic
179,archive/GarbageClassification\cardboard\cardboard173.jpg,cardboard
180,archive/GarbageClassification\cardboard\cardboard327.jpg,cardboard
181,archive/GarbageClassification\glass\glass412.jpg,glass
182,archive/GarbageClassification\glass\glass249.jpg,glass
183,archive/GarbageClassification\plastic\plastic434.jpg,plastic
184,archive/GarbageClassification\paper\paper359.jpg,paper
185,archive/GarbageClassification\metal\metal373.jpg,metal
186,archive/GarbageClassification\glass\glass347.jpg,glass
187,archive/GarbageClassification\plastic\plastic437.jpg,plastic
188,archive/GarbageClassification\metal\metal361.jpg,metal
189,archive/GarbageClassification\paper\paper62.jpg,paper
190,archive/GarbageClassification\paper\paper275.jpg,paper
191,archive/GarbageClassification\paper\paper524.jpg,paper
192,archive/GarbageClassification\paper\paper114.jpg,paper
193,archive/GarbageClassification\glass\glass15.jpg,glass
194,archive/GarbageClassification\cardboard\cardboard69.jpg,cardboard
195,archive/GarbageClassification\metal\metal99.jpg,metal
196,archive/GarbageClassification\paper\paper434.jpg,paper
197,archive/GarbageClassification\glass\glass87.jpg,glass
198,archive/GarbageClassification\trash\trash93.jpg,trash
